,VTI,VEA,VWO,BND,EMB
7/18/16,0.002804139,0.00221244,0.008752727,0.000356916,-0.001374956
7/19/16,-0.001984496,-0.008002233,-0.008676781,0.001546114,0.000258143
7/20/16,0.005332646,0.00723222,0.005196899,-0.001068713,-0.000430105
7/21/16,-0.003955789,-0.002485506,-0.002721047,0.00118876,0
7/22/16,0.004783814,0.000553723,0.006548373,0.000118762,8.60E-05
7/25/16,-0.002605111,-0.001660143,-0.008132265,-0.000593649,-0.002495639
7/26/16,0.001080814,0.004711701,0.006012605,-0.000118818,-0.002847052
7/27/16,-0.001169635,0.004413789,0.001358306,0.00297018,0.004499019
7/28/16,0.001261097,0,-0.000542606,-0.000592223,-0.002411704
7/29/16,0.002338921,0.01153535,0.005428902,0.00320015,0.003194636
8/1/16,-0.001346271,-0.005701952,-0.003779681,-0.003125429,-0.003781517
8/2/16,-0.007549172,-0.004915355,-0.005420075,-0.000950028,-0.002342704
8/3/16,0.003712723,-0.003841915,0.005449612,0,0.001391512
8/4/16,0.001172906,0.005785099,0.004878057,0.001782973,0.006687548
8/5/16,0.008290512,0.003560698,0.01105717,-0.003322245,-0.002588241
8/8/16,-0.000625612,0.00327508,0.00640165,0.000119073,0.005968363
8/9/16,0.000894281,0.008161128,0.006626027,0.002856777,0.004643106
8/10/16,-0.002948551,0.003507751,-0.002369672,0.001305645,0.002909996
8/11/16,0.005018417,0.007528976,0.01161263,-0.002607886,-0.001536101
8/12/16,-0.000980835,-0.002668863,-0.003913424,0.00225817,0.004273504
8/15/16,0.003659372,0.004281505,0.01100048,-0.001660137,0.001191484
8/16/16,-0.005691413,-0.002398086,-0.005181268,-0.000475127,-0.002635137
8/17/16,0.001252119,0,-0.003645917,0.001544828,0.003068274
8/18/16,0.00312645,0.005074852,0.008102493,0.001067916,0.002379121
8/19/16,-0.001424788,-0.00744094,-0.005963172,-0.002015003,-0.004662228
8/22/16,0.000267512,0.000803282,-0.01251955,0.001425211,0.001277479
8/23/16,0.002674539,0.004280359,-0.005018554,0.000474394,0.000850544
8/24/16,-0.005601537,-0.002930224,0.002920112,-0.000118565,-0.00339935
8/25/16,-0.000625891,-0.003205956,-0.000264646,-0.001066939,-8.52E-05
8/26/16,-0.002057759,-0.006968698,-0.007942791,-0.002492275,-0.001279222
8/29/16,0.005468896,0.003778661,0.007472612,0.003450247,0.004952624
8/30/16,-0.001604996,-0.002151063,-0.00158944,-0.00082997,-0.000339884
8/31/16,-0.002857906,-0.003503128,-0.00955152,-0.000711968,-0.003654911
9/1/16,0.000537372,0.008382947,0.005357539,0.001376447,-0.001264293
9/2/16,0.005102495,0.01019033,0.01518784,-0.001425888,0.002916421
9/6/16,0.002850015,0.009556693,0.01732283,0.002974774,0.006158067
9/7/16,0.001332163,0,-0.00128997,0.000118663,0.002805184
9/8/16,-0.00257207,-0.00210355,-0.002066598,-0.003795963,-0.004577443
9/9/16,-0.0249422,-0.02108035,-0.0315817,-0.004405844,-0.009793081
9/12/16,0.01399848,0.007806113,0.008286591,0.000358794,-0.00017197
9/13/16,-0.01556799,-0.02096686,-0.02465538,-0.002869415,-0.01100979
9/14/16,9.18E-05,-0.000548258,0.003577355,0.001318952,0.00191332
9/15/16,0.01028186,0.008776734,0.01590343,0.000838219,0.004166696
9/16/16,-0.003998205,-0.01223483,-0.006747638,0.000837517,-0.002852713
9/19/16,0.001459685,0.006606052,0.008423951,-0.000717336,0.003554431
9/20/16,-0.000455456,0.004375167,0.000269424,0.000239314,0.001122989
9/21/16,0.0114838,0.01905801,0.02424573,0.002870444,0.0108724
9/22/16,0.00729859,0.00988509,0.004471282,0.002027408,0.003926582
9/23/16,-0.005725014,-0.009523826,-0.01309243,-0.000237999,-0.003146014
9/26/16,-0.007917273,-0.00881405,-0.01220481,0.001666659,-0.00307063
9/27/16,0.005713294,0.004850453,0.01047541,0.001188477,0.002823424
9/28/16,0.00586115,0.008849504,0.009835267,0,0.001023827
9/29/16,-0.009771438,-0.01222751,-0.01658334,0.000118734,-0.004005806
9/30/16,0.007876179,0.006727664,0.007226993,-0.001305645,0.002995024
10/3/16,-0.003054019,-0.001871149,0.006643635,-0.00106324,0.001982641
10/4/16,-0.004504911,-0.002945919,-0.01003171,-0.00333769,-0.004361229
10/5/16,0.003891758,0.005372033,0.01519999,-0.001674434,0.000257655
10/6/16,0.000360629,-0.005343328,0,-0.000359396,-0.001545598
10/7/16,-0.003785131,-0.006446357,-0.00341479,0.000838923,0.000601993
10/10/16,0.005427885,0.004055088,0.006852982,-0.001077763,0.003695748
